DB00207,Q92887
DB00207,O43193
DB00207,Q9NYW5
DB00626,P00533
DB00626,P06239
DB00181,P0DMS8
DB00181,O75899
DB00181,Q9UBS5
DB01014,P35354
DB00244,P35354
DB01014,P23219
DB00244,P23219
DB01014,P09917
DB00244,P09917
DB01014,P37231
DB00244,P37231
DB01014,Q9NXA8
DB00244,Q9NXA8
DB01408,P07550
DB01408,P10635
DB01408,P22303
DB01408,P06276
DB13489,P35367
DB09227,Q01668
DB09227,Q13936
DB00394,P04150
DB00394,P05113
DB00394,P08235
DB00394,P14780
DB00394,Q86Y34
DB00394,P06401
DB12459,P11387
DB00542,P12821
DB14125,P12821
DB06769,Q9UQL6
DB06769,Q92769
DB06769,Q13547
DB06769,O15379
DB06769,Q9UBN7
DB06769,Q9BY41
DB06769,P56524
DB06769,Q969S8
DB00436,P00918
DB00436,P55017
DB00436,P00915
DB00436,P22748
DB00436,Q12791
DB04812,P09917
DB12867,P14416
DB12867,Q99720
DB12867,Q12809
DB12867,P28223
DB12867,P35462
DB12867,P21917
DB01231,P14416
DB01231,Q99720
DB01231,P28223
DB01231,P35462
DB01231,P11229
DB01231,P08172
DB01231,P20309
DB01231,P08173
DB01231,P08912
DB01231,P10635
DB01231,P35498
DB01231,Q99250
DB01231,Q9NY46
DB12783,P20711
DB12783,Q92731
DB12783,Q9UBE0
DB12783,Q9UBT2
DB12783,P52789
DB12319,P41595
DB12319,P0DMS8
DB12319,P33527
DB12319,Q9UNQ0
DB01002,Q12809
DB01002,P35498
DB01002,P35499
DB01002,P34995
DB01002,P10635
DB01002,P46098
DB01002,Q9UK17
DB01002,P22460
DB08878,P00374
DB06819,P15121
DB06819,Q92769
DB06819,Q13547
DB06819,Q9BY41
DB00928,P26358
DB00928,Q9Y6K1
DB00544,P04818
DB00544,O15440
DB00544,Q96J66
DB00544,P11511
DB00553,P22303
DB00553,P05177
DB00553,P21397
DB00553,P59543
DB00106,P30968
DB00659,P14867
DB00659,P18507
DB00659,P28472
DB00659,O15399
DB00659,O60391
DB00659,Q05586
DB00659,Q12879
DB00659,Q13224
DB00659,Q14957
DB00659,Q8TCU5
DB00284,O43451
DB00284,P04746
DB00284,P10253
DB00284,P0DUB6
DB00284,P14410
DB01193,P08588
DB01193,P07550
DB06736,P02766
DB00718,P54098
DB13868,P54098
DB06736,P28482
DB06736,P35354
DB13783,P35354
DB13783,P23219
DB13783,Q04760
DB01418,Q9BQB6
DB13573,P29275
DB01615,P35367
DB00316,P35354
DB00316,Q8NER1
DB00316,Q14994
DB00316,P00918
DB00316,P00915
DB00316,P22748
DB00316,Q16790
DB00316,O43570
DB00316,P43166
DB00316,P07451
DB00316,Q9ULX7
DB00316,P20292
DB00316,Q9HBA0
DB00316,P02144
DB00316,P21554
DB00819,P00918
DB00819,P00915
DB00819,P22748
DB00819,Q16790
DB00819,O43570
DB00819,P29972
DB00819,P35218
DB00819,Q9Y2D0
DB00819,P43166
DB00819,P07451
DB00819,P23280
DB00819,Q9ULX7
DB00819,Q8N1Q1
DB00404,P08684
DB00819,O75493
DB00414,Q09428
DB00414,Q14654
DB00551,P00918
DB01063,P14416
DB11696,P12821
DB08626,P12821
DB11696,P08473
DB08626,P08473
DB11696,P42892
DB08626,P42892
DB13640,P23141
DB13640,P14061
DB13640,P37059
DB13640,P80365
DB00404,P25105
DB13640,P28845
DB13640,O00748
DB03128,P11229
DB03128,P08172
DB03128,P20309
DB03128,P08173
DB03128,P08912
DB03128,P36544
DB03128,P17787
DB03128,P43681
DB06151,P99999
DB06151,P15692
DB06151,P04179
DB06151,P48637
DB06151,Q9UPY5
DB00511,P05023
DB00511,P05026
DB00511,P13637
DB00511,P14415
DB00511,P50993
DB00511,P54709
DB00511,P54710
DB00511,Q13733
DB01614,P21728
DB01614,P14416
DB01614,P04156
DB00945,P35354
DB00945,P23219
DB00945,P19440
DB00945,Q9UHC3
DB00945,Q6XQN6
DB09055,Q8TDS4
DB00459,P10276
DB00459,O95342
DB00459,P13631
DB11617,P41595
DB11617,P08253
DB11617,P11387
DB11617,P11388
DB11617,Q02880
DB09488,P08183
DB09488,P35367
DB00787,P00491
DB00210,P23415
DB00210,P10276
DB00210,P10826
DB00210,P13631
DB00210,P17174
DB00173,P47989
DB00173,Q5S007
DB00173,P42356
DB00173,Q8TCG2
DB00173,Q9BTU6
DB00173,Q9UBF8
DB00640,P29274
DB00640,P30542
DB00640,P29275
DB00640,P0DMS8
DB00640,P55263
DB00640,P00813
DB00640,O43318
DB00640,P23526
