Q05682
Q92609
P35462
Q7Z429
P32745
Q8N371
P05230
O95786
P25774
Q9NQX3
P51649
Q9BXC1
O75438
P01034
Q9HD90
Q99727
Q676U5
P29597
Q14393
O75891
P55268
O95299
P28347
P60484
O95551
Q99572
Q04760
Q04741
Q92673
Q01081
Q99578
Q99726
O75446
Q8TDV0
Q9Y6W5
P51580
Q12983
Q9UJQ1
P41159
P05997
Q08AM6
Q13867
P48436
Q13427
O15360
O15484
Q16881
P13612
Q8NE63
Q96JJ7
P04054
P41182
Q8IXJ6
P28335
Q9NZC7
Q13283
Q6UWE0
P19440
P52565
O15240
Q8N157
Q5JUK3
Q96RR4
P14151
Q13907
P47989
Q33E94
Q13489
Q9UBV4
Q13588
Q16658
O43613
P50591
P54646
O75531
P18509
Q9NQB0
P48664
P23510
P04049
P08651
P14543
P23528
Q9UI46
O94901
Q13621
P35498
P11388
P43629
O00626
P11161
Q9Y2T6
Q8NDF8
P42261
Q01453
Q49B96
P18283
Q9H6D8
P01100
P62753
Q96RD9
O00141
P35659
P78344
Q99259
Q6W2J9
Q9NQV7
Q16099
Q9Y5S1
P07988
Q9ULL4
Q8TE85
Q96QS3
P21399
Q9NPH2
Q96DB2
Q8TBM8
P57679
Q03052
P78562
P68371
Q96LT9
P26358
Q03701
P04035
P35398
Q9P2U8
P34897
P43250
O14818
P05155
P22102
Q13568
O43736
Q149N8
P19447
Q00978
Q9BSE5
Q96JI7
P48637
P01574
Q9NRC8
Q9BYZ2
O75293
Q9P0J0
Q9P0J1
P26378
O14796
P10646
P83916
P40259
P41229
P10599
Q13261
Q96SZ5
P07949
P78333
P41586
Q96PD4
P16220
Q8NHX9
Q06787
O00291
P12319
P61604
Q15392
Q8TD43
P15311
O60687
P02778
Q9UI32
Q9NRM7
P52429
Q9P1W8
O14786
P19256
P00491
P20366
P38398
P08574
Q15004
P59910
O75594
Q13485
P49716
A8MTJ3
Q15746
Q13639
O75711
Q96FA3
Q03692
P38405
Q02447
Q9BSK0
Q9UIA0
Q12947
P01730
Q9H0A0
P54578
P15248
P17927
O14511
Q9ULC8
Q07817
P21333
Q9BVP2
Q99700
Q9Y243
P51809
Q5JX69
P78540
P27338
P15692
O95793
P20265
P30533
Q92556
Q9Y219
Q8NFV4
P10909
Q5BJF2
Q07866
P20292
Q8NAU1
P11137
Q9H2A3
P25942
Q96MN2
P54725
P31150
Q8IZY2
P45983
O15354
P00374
P24311
Q9NNW7
P10415
P32969
P25490
A5PLL7
Q01167
O95251
Q99615
P21453
P00751
O95347
Q96E29
Q9UJH8
Q09472
Q03252
P35475
P20340
Q9BVL2
P04271
P07306
P20701
P98170
Q9H2A7
Q8IWL8
P54577
Q8TEQ8
O43731
Q76LX8
Q99558
Q9UGU0
P08294
O94813
Q9HAR2
O43474
P00813
P48029
P12643
Q9UKA9
Q9P2E9
O14558
P15514
P14902
Q14061
Q13651
Q6UXB2
Q9Y519
Q13516
O75362
P11712
P11597
P16455
Q13224
P06276
Q9NR83
Q96G01
Q05D32
O60551
Q14703
P18510
P21583
Q15465
O95832
Q7L8C5
P42575
P09651
Q8N6M6
Q15388
O00255
P15531
P62873
P55211
P17568
O60610
Q9H9S5
O43345
P50281
Q9NW15
P51970
Q8WXA9
Q9NZN5
P01042
Q13114
P78352
Q9NZ08
Q6BDS2
P48051
P09874
Q16650
Q969D9
Q9NS23
Q96SL4
P02675
P05156
Q96FE5
O95278
Q9GZR1
P05060
P04156
P0DP25
Q6ZUI0
Q02750
Q8WTT0
P08195
P50454
P46527
Q96FI4
Q9BZZ2
P09622
Q13285
Q8NBP7
Q8IWA4
Q16769
Q9NX55
P07333
O14832
Q5T4S7
Q9UKP5
Q8N122
P48443
Q496M5
P22413
P02686
Q5T124
Q9P016
P08235
Q5S007
Q7Z3F1
Q86YN6
O00182
O00401
O15455
O43186
Q14693
Q96A28
P05089
P54920
P55055
Q17RY0
Q75VX8
P08237
Q9UIX4
P15408
O00329
P05141
P30872
Q7Z4L0
O60583
P27695
Q8IYU2
P15036
Q9UBE8
P42224
Q9BXP8
P60568
Q03426
Q9BZM6
Q9H293
Q86TM6
Q9UL62
Q9Y5X1
O96020
Q14019
O14976
O95498
P13569
Q5JRX3
P09936
Q04206
Q13432
P21926
P43121
P16157
Q96SN7
O95988
P26718
P11274
E9PAV3
Q9H1R3
P23769
Q15369
P68363
Q8NCY6
P11117
Q8IZJ0
Q96EA4
P27352
Q969T3
O60825
P04733
Q9NQ87
Q00005
P05231
P36969
O95185
Q8NFU7
Q9Y6X9
Q99453
P02765
P30556
Q9HC29
Q9NQV8
Q03164
Q9NP59
Q7Z2D5
P04179
P46063
Q13363
Q96FW1
Q49AH0
O43612
Q9HCK8
Q5QGZ9
Q96SB3
Q96LX8
Q99708
P42830
Q13217
Q12788
